sample,model,metric,estimate,low,high
unconflicted,Coverage,log_loss,0.1349526777530266,0.0992538085388247,0.1784724666719057
unconflicted,Coverage,brier,0.0331895927360649,0.0224821277933427,0.0465950576468054
unconflicted,Coverage + likelihood,log_loss,0.141435799091708,0.0999942341903813,0.1908136921458165
unconflicted,Coverage + likelihood,brier,0.0357807257296846,0.0227338208049916,0.0511027257847273
unconflicted,Coverage + margin,log_loss,0.1362864094779735,0.0987779291050814,0.1796105413285672
unconflicted,Coverage + margin,brier,0.0346939427168776,0.0226963723026594,0.0491732800903389
unconflicted,Likelihood,log_loss,0.423170780787444,0.3370073617285017,0.5588854105349028
unconflicted,Likelihood,brier,0.1270414635842148,0.1065458292310801,0.1518255135574168
unconflicted,Coverage + likelihood minus Coverage,paired_log_loss_difference,0.0064831213386814,-0.002331824884459,0.021841302064146
unconflicted,Coverage + margin minus Coverage,paired_log_loss_difference,0.0013337317249468,-0.0081857959740239,0.0152361342778022
