sample,term,estimate,low,high,bootstrap_success
conflicted,intercept,-6.669983504512158,-9.792145294438303,-5.4605607491435135,2000
conflicted,r,6.425407006034596,4.463435777787978,10.892999977099223,2000
conflicted,likelihood,2.077195061064044,0.44701897564886967,5.287546866486507,2000
conflicted,interaction,-2.953403816653909,-8.10236243760121,-0.06344119740201248,2000
