sample,comparison,mean,low,high,questions,states
unconflicted,Relevant vs. unrelated,0.660849004467358,0.5938973065221064,0.7249530712793707,64,564
unconflicted,Removed vs. original,-0.3193512222636754,-0.3481092150940502,-0.2880858291415852,64,943
unconflicted,Unrelated vs. original,-0.373558026332095,-0.4024605716941674,-0.3414282603578838,64,943
