sample,experiment,metric,estimate,low,high,questions
unconflicted,coverage,question_weighted_Pearson,0.7926048803463552,0.7782190932978852,0.8077298402292131,64
unconflicted,coverage,question_weighted_Spearman,0.8670299677820228,0.851075462898497,0.8819080110675374,64
unconflicted,coverage,within_question_Pearson,0.8091770751259536,0.7944764345453779,0.8240524575037697,64
unconflicted,state_answers,question_weighted_Pearson,0.4843800343634003,0.3997654128623433,0.5517679055237045,64
unconflicted,state_answers,question_weighted_Spearman,0.6143357893530454,0.5291689050160339,0.6906883623527212,64
unconflicted,state_answers,within_question_Pearson,0.5387597347081177,0.502121101145849,0.5733602338219859,64
all,coverage,question_weighted_Pearson,0.7837816822727052,0.7681208737716818,0.799551629229493,100
all,coverage,question_weighted_Spearman,0.8578429927725438,0.8459140218559558,0.8709650282879912,100
all,coverage,within_question_Pearson,0.8038011056756874,0.7910277467612847,0.8166939586817332,100
all,state_answers,question_weighted_Pearson,0.41759772809321083,0.3411592260317738,0.48729185350994114,100
all,state_answers,question_weighted_Spearman,0.5287455542903234,0.44354557422020136,0.6068998314372425,100
all,state_answers,within_question_Pearson,0.4953220077847654,0.4507610891909872,0.5364927874998607,100
conflicted,coverage,question_weighted_Pearson,0.7667719992375897,0.727862448016709,0.8011747054029995,36
conflicted,coverage,question_weighted_Spearman,0.8475689597141748,0.8205911983952144,0.8719002035021102,36
conflicted,coverage,within_question_Pearson,0.7920121564860761,0.7630426542795891,0.816989100049421,36
conflicted,state_answers,question_weighted_Pearson,0.27597936587854477,0.13022838580005516,0.41557404268049075,36
conflicted,state_answers,question_weighted_Spearman,0.3623116701636206,0.20904059773274172,0.5083597420998596,36
conflicted,state_answers,within_question_Pearson,0.3977516601623384,0.2846651774254192,0.49561423286816275,36
