sample,r,likelihood,mean,low,high
all,0.0,3.763645160758789e-05,0.00036888342523299267,5.913325674720124e-06,0.0023021263303674624
all,0.0,0.012695201319536954,0.00037353058655468987,6.3411144822629495e-06,0.0022754371564326263
all,0.0,0.02535276618746632,0.0003782362702588723,6.726729169784542e-06,0.0022621058095855383
all,0.0,0.03801033105539568,0.0003830012127648234,7.037665321254719e-06,0.002258434938021017
all,0.0,0.050667895923325046,0.00038782615974435373,7.3630173274045865e-06,0.0022702174360584326
all,0.0,0.06332546079125442,0.00039271186623769254,7.703456265907372e-06,0.0022259781557127925
all,0.0,0.07598302565918379,0.0003976590967708189,8.05968462471717e-06,0.0021827324804761013
all,0.0,0.08864059052711315,0.0004026686254742544,8.432437782911176e-06,0.0021625437382223503
all,0.0,0.10129815539504251,0.0004077412362033325,8.822485562007155e-06,0.0021259656046611576
all,0.0,0.11395572026297188,0.00041287772265996515,9.230633851151124e-06,0.0021077273052069047
all,0.0,0.12661328513090125,0.0004180788885159247,9.657726309735426e-06,0.0020799747891867455
all,0.0,0.1392708499988306,0.00042334554753765594,1.0042286975836816e-05,0.0020588724377097875
all,0.0,0.15192841486675998,0.00042867852371264323,1.0572318011809059e-05,0.002052721058436712
all,0.0,0.16458597973468933,0.0004340786513773469,1.106170990888915e-05,0.0020330972828020042
all,0.0,0.1772435446026187,0.00043954677534673015,1.1648514979983873e-05,0.0020139704127077537
all,0.0,0.18990110947054806,0.0004450837510453959,1.2465250014991029e-05,0.002008215394387055
all,0.0,0.20255867433847743,0.00045069044464035357,1.3299284481977084e-05,0.001992949348337951
all,0.0,0.2152162392064068,0.00045636773317543275,1.429827649019025e-05,0.0019618058899325413
all,0.0,0.22787380407433616,0.00046211650470736937,1.530773015346275e-05,0.0019608727751210145
all,0.0,0.24053136894226554,0.0004679376584435801,1.649266102615211e-05,0.001967983820776063
all,0.0,0.2531889338101949,0.0004738321048816481,1.804923033912704e-05,0.0019531215276791586
all,0.0,0.26584649867812427,0.0004798007659505389,1.945601763451366e-05,0.001936704249344273
all,0.0,0.2785040635460536,0.00048584457515357253,2.0790131523091367e-05,0.0019174104794359033
all,0.0,0.29116162841398296,0.0004919644777131637,2.1548951582585032e-05,0.0018982269092718222
all,0.0,0.30381919328191237,0.0004981614307173638,2.3061191201552002e-05,0.0018977583923368375
all,0.0,0.3164767581498417,0.0005044364032682167,2.4537937084517858e-05,0.0018886330266336244
all,0.0,0.32913432301777107,0.0005107903766319559,2.5388321059722094e-05,0.0018739143572214531
all,0.0,0.3417918878857005,0.0005172243443910633,2.6825401678535246e-05,0.0018762583303797396
all,0.0,0.3544494527536298,0.0005237393125982148,2.7874182822277863e-05,0.001865706688252532
all,0.0,0.3671070176215592,0.0005303362999321294,3.0407865429857987e-05,0.0018838972803850544
all,0.0,0.3797645824894885,0.0005370163378553541,3.285140230359526e-05,0.0018775189460762348
all,0.0,0.3924221473574179,0.0005437804707740011,3.4085536021047796e-05,0.0018665485215940809
all,0.0,0.4050797122253473,0.0005506297561994637,3.621889418658449e-05,0.0018824887657885492
all,0.0,0.4177372770932766,0.0005575652649121346,3.7927311411573325e-05,0.0018952404515052564
all,0.0,0.43039484196120603,0.0005645880811271528,4.034457206027089e-05,0.001880062128075732
all,0.0,0.4430524068291354,0.0005716993026621977,4.306046088787142e-05,0.0018889671850945465
all,0.0,0.45570997169706473,0.0005789000411073637,4.500757963525329e-05,0.0018775678042508698
all,0.0,0.4683675365649941,0.0005861914219971348,4.492861931481602e-05,0.0018904867364368503
all,0.0,0.4810251014329235,0.0005935745849844858,4.61095702945948e-05,0.0018983067429441758
all,0.0,0.49368266630085283,0.0006010506840171364,4.8637179288401984e-05,0.0019012570766099028
all,0.0,0.5063402311687822,0.0006086208875159864,5.176489674103472e-05,0.0018742394691250185
all,0.0,0.5189977960367116,0.0006162863785557513,5.5076666908959303e-05,0.0018975561192697478
all,0.0,0.5316553609046409,0.0006240483550478347,5.786634464811959e-05,0.001921124822438667
all,0.0,0.5443129257725703,0.0006319080299254577,6.234612988129527e-05,0.001934859417870075
all,0.0,0.5569704906404996,0.0006398666313310746,6.452418713865686e-05,0.0019765871573782894
all,0.0,0.569628055508429,0.0006479254028061022,6.866676512433086e-05,0.0020016561875777577
all,0.0,0.5822856203763583,0.0006560856034829933,7.267521772810417e-05,0.0020187976328696665
all,0.0,0.5949431852442878,0.0006643485082796759,7.537214612979598e-05,0.0020500314691776597
all,0.0,0.6076007501122171,0.0006727154080963952,7.792648180419964e-05,0.0020706545789749894
all,0.0,0.6202583149801465,0.0006811876100149817,7.878368964684878e-05,0.0020872390976576214
all,0.0,0.6329158798480758,0.0006897664375005766,8.069487773237322e-05,0.0020787944850408067
all,0.0,0.6455734447160052,0.0006984532306058428,8.42833816868034e-05,0.0021158687765216603
all,0.0,0.6582310095839345,0.0007072493461776952,8.676153097467158e-05,0.0021466902428151622
all,0.0,0.6708885744518639,0.000716156158066572,9.113747849441642e-05,0.002195800700536745
all,0.0,0.6835461393197934,0.0007251750573382897,9.627017619886354e-05,0.002229739877104777
all,0.0,0.6962037041877227,0.000734307452488503,9.835069150302615e-05,0.0022657144065212644
all,0.0,0.708861269055652,0.0007435547696598048,0.00010103178334322427,0.002285299662335765
all,0.0,0.7215188339235814,0.0007529184528614968,0.00010304145184096448,0.0022856950352193334
