r_state,s_state,states,successes,rate,ci_low,ci_high
R 不完整,S 为正,98,5,0.05102040816326531,0.010752688172043012,0.1
R 不完整,S 非正,29,1,0.034482758620689655,0.0,0.10526315789473684
R 完整,S 为正,163,124,0.7607361963190185,0.6623355121699492,0.8479569176104819
R 完整,S 非正,10,3,0.3,0.0,0.5714285714285714
