measure,pearson_r,icc_2_1,mean_absolute_difference,mean_difference,loa_low,loa_high,sign_disagreement_rate
Native S,0.9994706206341004,0.999469514671417,0.08267444201895562,-0.0029069708790268826,-0.2458368239025987,0.24002288214454492,0.010232558139534883
Explicit J,0.9798847471113941,0.9798612611984445,0.02274464655767903,0.00036380382224268854,-0.08363754480854656,0.08436515245303193,0.0018604651162790699
