feature_group,label,shapley_r2,ci_low,ci_high
Committed,已提交证据,0.055624563520985916,0.015463979055250043,0.09056592777602564
Time,检索进度,0.17351336372675127,0.12076977722736813,0.23359843867582744
Visible,可见预览与累计可见证据,0.24782711680704902,0.17336019433488922,0.30957046513158953
