coverage_state,preview_state,states,successes,rate,ci_low,ci_high
R 不完整,无 gold 预览,300,61,0.20333333333333334,0.14005462184873949,0.27698070842688904
R 不完整,有 gold 预览,444,33,0.07432432432432433,0.049105477078891256,0.10262690303493587
R 完整,无 gold 预览,66,8,0.12121212121212122,0.037962816455696206,0.23913808940600112
R 完整,有 gold 预览,175,1,0.005714285714285714,0.0,0.018407748239036542
