feature_groups,oof_r2
Base,0.020574118116937434
Time,0.34465321621071976
Committed,0.2008585868617675
Visible,0.4219681797646416
Time+Committed,0.34330638179151285
Time+Visible,0.506601895460765
Committed+Visible,0.4146189243981865
Time+Committed+Visible,0.49753916217172367
