event,transitions,raw_mean_delta_s,adjusted_delta_vs_no_gain,ci_low,ci_high
Preview only,498,3.2462349440938194,2.3250794004773914,1.7724604595852467,2.770982436532579
Commit already seen,372,2.6171034835998856,2.111710408301333,1.7187801777453628,2.4937618628164917
Commit newly seen,75,2.4733333236289523,2.1773310376904313,1.6048106713168877,2.7189856617525434
