subset,states,native_positive_rate,explicit_majority_sufficient_rate,explicit_mean_sufficient_fraction
Before retrieval,300,0.0,0.99,0.8270132013201319
All R=0 states,840,0.44285714285714284,0.9488095238095238,0.8796499292786422
All states,2150,0.5795348837209302,0.9265116279069767,0.8850633202855169
