progress,metric,mean,low,high,questions,trajectories
0.05,r,0.0,0.0,0.0,2,4
0.05,likelihood,0.015659649001926717,0.010986943548136735,0.0203323544557167,2,4
0.05,margin,-4.1874999298403655,-4.499999915560086,-3.8749999441206455,2,4
0.1,r,0.0,0.0,0.0,15,24
0.1,likelihood,0.016600135622567614,0.009120523111936238,0.028676208174708118,15,24
0.1,margin,-4.557638923807018,-4.92921880252669,-4.185989615836687,15,24
0.15,r,0.008928571428571428,0.0,0.026785714285714284,28,51
0.15,likelihood,0.06965905767201508,0.02136273188362161,0.14071993618967013,28,51
0.15,margin,-4.028645849001588,-4.48773252345598,-3.454957218562552,28,51
0.2,r,0.006944444444444445,0.0,0.020833333333333332,60,130
0.2,likelihood,0.08534258835916358,0.04928574806508073,0.125154162339113,60,130
0.2,margin,-3.742361117664647,-4.053133678741642,-3.3954687786060096,60,130
0.25,r,0.02140255009107468,0.00546448087431694,0.04189435336976321,61,162
0.25,likelihood,0.134790875559996,0.08585623490435498,0.18632486741520052,61,162
0.25,margin,-3.3586065640850844,-3.7905054833610494,-2.900251892661618,61,162
0.3,r,0.052823315118397086,0.020491803278688523,0.09107468123861566,61,162
0.3,likelihood,0.1942533823716059,0.13500861614033438,0.25837763507284617,61,162
0.3,margin,-2.8985655795293126,-3.418557889338629,-2.348480200446077,61,162
0.35,r,0.056857638888888895,0.026909722222222224,0.09505208333333333,64,192
0.35,likelihood,0.24152937344567577,0.18552505801345592,0.3040467001134869,64,192
0.35,margin,-2.4472656359868474,-2.9375162956813563,-1.9364990298904141,64,192
0.39999999999999997,r,0.07552083333333333,0.042089843749999994,0.11589626736111105,64,192
0.39999999999999997,likelihood,0.4669632877438515,0.40932121169257357,0.5275373090551408,64,192
0.39999999999999997,margin,-0.6582031346929398,-1.129150404946586,-0.15166831155605315,64,192
0.44999999999999996,r,0.08637152777777778,0.05250651041666666,0.1271701388888889,64,192
0.44999999999999996,likelihood,0.4647381200823887,0.40715869431369206,0.524214700946704,64,192
0.44999999999999996,margin,-0.6477864690465746,-1.1260010016952644,-0.14405925004192272,64,192
0.49999999999999994,r,0.11545138888888888,0.0759548611111111,0.16145833333333331,64,192
0.49999999999999994,likelihood,0.6107545877020264,0.5413497734953503,0.6776698957347502,64,192
0.49999999999999994,margin,0.513346349905684,-0.007210299057343672,1.015722659600214,64,192
0.5499999999999999,r,0.11675347222222222,0.07682291666666667,0.1636284722222222,64,192
0.5499999999999999,likelihood,0.6099778421367907,0.5398309757660288,0.677602953940254,64,192
0.5499999999999999,margin,0.5078124970499023,-0.01237792952336653,1.0085530590042247,64,192
0.6,r,0.27083333333333326,0.22656250000000003,0.31857638888888884,64,192
0.6,likelihood,0.6296423105538598,0.5565688256519989,0.7004393719668496,64,192
0.6,margin,0.8398437428428831,0.2717691976739843,1.3740234336009904,64,192
0.65,r,0.2786458333333333,0.23393012152777776,0.3289930555555556,64,192
0.65,likelihood,0.6404525169056611,0.5678901238750705,0.7109514942537764,64,192
0.65,margin,0.9111328046164999,0.34204101128027187,1.4525553279334114,64,192
0.7,r,0.3198784722222222,0.2734375,0.3715386284722222,64,192
0.7,likelihood,0.7813005955425893,0.7272278693524901,0.8299766902842705,64,192
0.7,margin,1.988932288630167,1.5309244866387661,2.431787096997695,64,192
0.75,r,0.35763888888888895,0.3077256944444444,0.4145073784722222,64,192
0.75,likelihood,0.7831602444492495,0.7284736191590118,0.8316044726474439,64,192
0.75,margin,2.052408851359057,1.5627848270085167,2.516072586167075,64,192
0.7999999999999999,r,0.3658854166666667,0.3155381944444445,0.4236219618055555,64,192
0.7999999999999999,likelihood,0.8112324720447233,0.7522919281184747,0.8605317737048219,64,192
0.7999999999999999,margin,2.1484375002114575,1.6813151006584992,2.5739013634699974,64,192
0.85,r,0.37673611111111105,0.3237847222222222,0.4383680555555555,64,192
0.85,likelihood,0.8323983545636837,0.7799354935650056,0.8765508428612215,64,192
0.85,margin,2.3024088523584396,1.8736002527159978,2.698901367923668,64,192
0.9,r,0.3845486111111111,0.33158637152777776,0.4466145833333333,64,192
0.9,likelihood,0.8431305121227232,0.7916064546926098,0.889005723577192,64,192
0.9,margin,2.4212239572593717,2.013273116264558,2.8112060456531065,64,192
0.95,r,0.3871527777777778,0.33202039930555555,0.447927517361111,64,192
0.95,likelihood,0.8376072384514781,0.7824435317339734,0.8864300585118942,64,192
0.95,margin,2.3974609368005986,1.955314124981828,2.8223388665711235,64,192
1.0,r,0.825954861111111,0.7708333333333334,0.8771809895833332,64,192
1.0,likelihood,0.9271709091372486,0.8784725621900112,0.9687925434168944,64,192
1.0,margin,5.999674456307831,5.306160453929389,6.615706349741664,64,192
