outcome,controls,term,estimate,low,high,questions,states
margin,r+tau,r,1.772947552125983,0.6941651142951066,2.7688605519194396,64,1181
margin,r+tau,tau,9.321483937205485,7.566923204809823,11.15966363780552,64,1181
margin,r+tau+tau2,r,2.103825296149471,1.022925086353884,3.0905983184393864,64,1181
margin,r+tau+tau2,tau,12.320462428160305,8.88213318264063,15.763894993432173,64,1181
margin,r+tau+tau2,tau2,-2.7901190130335816,-5.300142424143138,-0.3906421319538614,64,1181
likelihood,r+tau,r,-0.18159584199763829,-0.3236066785020212,-0.056334414430285994,64,1181
likelihood,r+tau,tau,1.1602199044175168,0.9527268987272152,1.38534051014352,64,1181
likelihood,r+tau+tau2,r,-0.016791181328074493,-0.11950634753530852,0.07779669813679933,64,1181
likelihood,r+tau+tau2,tau,2.653960844944609,2.16877902691361,3.148886305567926,64,1181
likelihood,r+tau+tau2,tau2,-1.3897115338711157,-1.7006307476211,-1.0715402969087091,64,1181
