progress,metric,mean,low,high,questions,trajectories
0.0,r,0.0,0.0,0.0,64,192
0.0,likelihood,0.014858449351182192,0.013015133863120996,0.016738605672910873,64,192
0.0,margin,-4.341796887256957,-4.482763695073406,-4.208325214584087,64,192
0.05,r,0.0,0.0,0.0,64,192
0.05,likelihood,0.015025263326908818,0.013138744204634274,0.017040362251938702,64,192
0.05,margin,-4.349283868026456,-4.489917003796601,-4.211905917001195,64,192
0.1,r,0.0026041666666666665,0.0,0.00787760416666631,64,192
0.1,likelihood,0.061896872326864284,0.038094625029598456,0.08827844296959986,64,192
0.1,margin,-3.9488932413029643,-4.1976074563565815,-3.6952881036760115,64,192
0.15000000000000002,r,0.006510416666666667,0.0,0.01969401041666578,64,192
0.15000000000000002,likelihood,0.1209217041622343,0.07636854736578017,0.1711218238428931,64,192
0.15000000000000002,margin,-3.43033855474611,-3.7942708440262702,-3.02891440788197,64,192
0.2,r,0.030815972222222224,0.010416666666666666,0.05556640624999994,64,192
0.2,likelihood,0.2282480184177248,0.1736991357861585,0.2872701351159387,64,192
0.2,margin,-2.560872408357075,-3.0247639982430994,-2.068676760601272,64,192
0.25,r,0.055121527777777776,0.024739583333333332,0.09244791666666666,64,192
0.25,likelihood,0.48265306656737117,0.4227793100538712,0.5422059152449015,64,192
0.25,margin,-0.6341145928763581,-1.1615560010758144,-0.10636394006694488,64,192
0.30000000000000004,r,0.07421875,0.040787760416666666,0.1150173611111111,64,192
0.30000000000000004,likelihood,0.4877363215898961,0.4308432228183343,0.5487350388386113,64,192
0.30000000000000004,margin,-0.5332031352909327,-1.0280354931694395,-0.013004561157932509,64,192
0.35000000000000003,r,0.08463541666666666,0.05078125,0.1254340277777778,64,192
0.35000000000000003,likelihood,0.6142196569359845,0.5479177789751957,0.6840421874204433,64,192
0.35000000000000003,margin,0.5136718707352277,-0.025390629694269744,1.0335286466288949,64,192
0.4,r,0.10460069444444445,0.06726345486111111,0.1484375,64,192
0.4,likelihood,0.6196498028441947,0.5508378390815,0.6881303634186299,64,192
0.4,margin,0.5631510364437418,0.016520176189927346,1.0892415252954908,64,192
0.45,r,0.11414930555555555,0.07552083333333333,0.16015625,64,192
0.45,likelihood,0.605537464342247,0.5334411073238505,0.6758760064054118,64,192
0.45,margin,0.4915364544725283,-0.044278982049839516,0.9997639914547861,64,192
0.5,r,0.265625,0.22352430555555555,0.3098958333333333,64,192
0.5,likelihood,0.7645998625742305,0.7061123431380942,0.8151934315134706,64,192
0.5,margin,1.8802083315337466,1.399633783789894,2.340828456294895,64,192
0.55,r,0.27083333333333326,0.22656250000000003,0.31857638888888884,64,192
0.55,likelihood,0.7608402156879011,0.7003940083594182,0.8131770801038477,64,192
0.55,margin,1.847656249154776,1.3424153604312532,2.318082679368933,64,192
0.6000000000000001,r,0.3185763888888889,0.2717013888888889,0.3706597222222222,64,192
0.6000000000000001,likelihood,0.7823401332342528,0.7275516999733966,0.8324736302351442,64,192
0.6000000000000001,margin,2.009765622141458,1.529614256744831,2.464672854653955,64,192
0.65,r,0.3198784722222222,0.2734375,0.3715386284722222,64,192
0.65,likelihood,0.7866727914132055,0.7345596769050072,0.8333782154016387,64,192
0.65,margin,2.021158852017834,1.5803385381529533,2.4492757155397475,64,192
0.7000000000000001,r,0.3511284722222222,0.3033745659722222,0.40625,64,192
0.7000000000000001,likelihood,0.7813456225923956,0.7275589262756385,0.8305402961445396,64,192
0.7000000000000001,margin,1.9947916648731432,1.5106526726966458,2.449226884632905,64,192
0.75,r,0.3658854166666667,0.3155381944444445,0.4236219618055555,64,192
0.75,likelihood,0.8118956687644305,0.7543843171170291,0.8598656573488349,64,192
0.75,margin,2.147786458467787,1.695141606023113,2.5725911416481417,64,192
0.8,r,0.3741319444444444,0.3216145833333333,0.43576388888888884,64,192
0.8,likelihood,0.8285133156673828,0.7729467724883502,0.8751567380119472,64,192
0.8,margin,2.276367185195947,1.828108716504073,2.6819824151546032,64,192
0.8500000000000001,r,0.3819444444444444,0.32941623263888886,0.4427083333333333,64,192
0.8500000000000001,likelihood,0.8371468414086042,0.7857249232764472,0.880546405024198,64,192
0.8500000000000001,margin,2.367838541996359,1.9492106079643579,2.7532633486530207,64,192
0.9,r,0.3871527777777778,0.33202039930555555,0.447927517361111,64,192
0.9,likelihood,0.8432756822587357,0.7919030541593443,0.8895460704861632,64,192
0.9,margin,2.4384765618910933,2.0257079986827424,2.8343343045819096,64,192
0.9500000000000001,r,0.3871527777777778,0.33202039930555555,0.447927517361111,64,192
0.9500000000000001,likelihood,0.8376072384514781,0.7824435317339734,0.8864300585118942,64,192
0.9500000000000001,margin,2.3974609368005986,1.955314124981828,2.8223388665711235,64,192
1.0,r,0.825954861111111,0.7708333333333334,0.8771809895833332,64,192
1.0,likelihood,0.9271709091372486,0.8784725621900112,0.9687925434168944,64,192
1.0,margin,5.999674456307831,5.306160453929389,6.615706349741664,64,192
