hops,r,metric,mean,low,high,questions
2,0.0,likelihood,0.4529476432219899,0.4208880794552831,0.4825121717752195,49
2,0.0,margin,-0.7988095330029176,-1.0441289466228396,-0.5629910739126002,49
2,0.5,likelihood,0.8959090211572853,0.8576535221726689,0.9294252711207577,44
2,0.5,margin,3.8291972647250514,3.284017415905509,4.3559500886446285,44
2,1.0,likelihood,0.9643164123848825,0.9230273884981027,0.9948138273258826,47
2,1.0,margin,6.538924232126238,5.909027831186806,7.097621128233726,47
3,0.0,likelihood,0.4030440445980951,0.2689371285684485,0.48875447801641575,7
3,0.0,margin,-1.5967757922085368,-2.8546688978421213,-0.7787450037869841,7
3,0.3333333333333333,likelihood,0.6457276226527277,0.39444235484133405,0.855190472431031,7
3,0.3333333333333333,margin,0.9619709033222756,-1.5332754668748427,2.8472346240098267,7
3,0.6666666666666666,likelihood,0.8609551866164669,0.7919460859226036,0.921579276113674,6
3,0.6666666666666666,margin,2.9651988588557656,2.14583332122614,3.741240502289491,6
3,1.0,likelihood,0.9958254172877167,0.9902894613638165,0.9989544690291657,5
3,1.0,margin,6.643749998755569,5.568749968677002,7.731249973516242,5
4,0.0,likelihood,0.2828899850221723,0.18190479773608395,0.3925163497760317,8
4,0.0,margin,-2.1167823891392565,-2.918791563658051,-1.2122417545804738,8
4,0.25,likelihood,0.5026212627021246,0.3260475818972818,0.6747722445134182,7
4,0.25,margin,-0.39772727691352067,-1.8452837513872957,0.8787388278818171,7
4,0.5,likelihood,0.637455497440292,0.49038034234013084,0.7591303259841439,5
4,0.5,margin,0.8300347232326335,-0.02968749248289635,1.5965277767119308,5
4,0.75,likelihood,0.7372840809710928,0.4487194322205525,0.9197216774169533,5
4,0.75,margin,1.4677083123863366,-0.44479169931728385,2.6876562157447905,5
4,1.0,likelihood,0.984131325525125,0.9644275411797839,0.9971026415448996,5
4,1.0,margin,5.340277772946866,4.1430555502183175,6.476388893284941,5
