event,transitions,raw_mean_delta_s,adjusted_delta_vs_no_gain,ci_low,ci_high
Preview only,498,3.2462349440938194,2.325079400477391,1.781215146991922,2.7715620428161087
Commit already seen,372,2.6171034835998856,2.1117104083013336,1.7235188877126795,2.501294337846051
Commit newly seen,75,2.4733333236289523,2.1773310376904336,1.5912638610571606,2.6971206660828786
