r_state,s_state,states,successes,rate,ci_low,ci_high
R 不完整,S 为正,98,5,0.05102040816326531,0.010866643291257598,0.0989010989010989
R 不完整,S 非正,29,1,0.034482758620689655,0.0,0.10256410256410256
R 完整,S 为正,163,124,0.7607361963190185,0.6611087570621469,0.85
R 完整,S 非正,10,3,0.3,0.0,0.5572916666666667
