score,full,x,mean,low,high
p,0,0.0001686527909128042,0.02513156936790514,0.002831257859180076,0.18966989745275983
p,0,0.006834096845760235,0.025263063186228146,0.0028897895180752067,0.1881660719067779
p,0,0.013499540900607666,0.025395226999193294,0.0029494782570666975,0.18667397164465296
p,0,0.020164984955455097,0.025528064031753377,0.0030103446842144215,0.1851935906059452
p,0,0.02683042901030253,0.02566157752240349,0.003072409669115295,0.18372492234670762
p,0,0.03349587306514996,0.02579577072321672,0.0031356943405926848,0.18226796007472265
p,0,0.04016131711999739,0.025930646899879662,0.0032002200839775894,0.1808226966853828
p,0,0.04682676117484482,0.026066209331727916,0.0032660085379562294,0.1793891247982358
p,0,0.05349220522969225,0.02620246131178119,0.003333081590957175,0.17796723679421797
p,0,0.060157649284539684,0.026339406146778477,0.0034014613770499847,0.1765570248536059
p,0,0.0668230933393871,0.026477047157212958,0.003471170271325679,0.17515848099470988
p,0,0.07348853739423454,0.026615387677366653,0.0035422308847279614,0.17377159711333992
p,0,0.08015398144908197,0.02675443105534509,0.003614666058302457,0.17239636502307767
p,0,0.0868194255039294,0.026894180653111593,0.00368849885682964,0.17103277649638188
p,0,0.09348486955877683,0.027034639846521578,0.0037637525618052824,0.16968082330656867
p,0,0.10015031361362427,0.027175812025356513,0.0038404506637306044,0.168340497270697
p,0,0.10681575766847169,0.027317700593357697,0.003918616853672146,0.16701179029340293
p,0,0.11348120172331912,0.027460308968260003,0.003998275014049766,0.16569469441172016
p,0,0.12014664577816656,0.027603640581825184,0.00407944920860873,0.1643892018409319
p,0,0.12681208983301398,0.027747698879875205,0.004162163671530005,0.16309530502149763
p,0,0.1334775338878614,0.027892487322325202,0.00424644279563045,0.16181299666710347
p,0,0.14014297794270886,0.028038009383216263,0.004332311119602343,0.1605422698138852
p,0,0.14680842199755628,0.028184268550748116,0.0044197933142392795,0.15928311787087726
p,0,0.1534738660524037,0.028331268327311383,0.004508914167592856,0.15803553467174106
p,0,0.16013931010725113,0.028479012229519818,0.004599698569002097,0.1567995145278329
p,0,0.16680475416209856,0.028627503788242175,0.004692171491934722,0.15557505228266955
p,0,0.173470198216946,0.02877674654863389,0.004786357975576675,0.15436214336785456
p,0,0.18013564227179343,0.02892674407016856,0.004882283105103317,0.1531607838605344
p,0,0.18680108632664086,0.029077499926669095,0.004979971990562839,0.1519709705424502
p,0,0.19346653038148828,0.029229017706338702,0.005079449744299195,0.1507927009606593
p,0,0.20013197443633574,0.029381301011791594,0.005180741456838815,0.1496259734900015
p,0,0.20679741849118316,0.029534353460083387,0.005283872171162077,0.1484707873973884
p,0,0.21346286254603059,0.029688178682741345,0.0053888668552770766,0.1473271429079984
p,0,0.220128306600878,0.029842780325794266,0.00549575037300993,0.14619504127346244
p,0,0.22679375065572543,0.02999816204980209,0.005604547452922339,0.14507448484212854
p,0,0.2334591947105729,0.030154327529885335,0.005715282655263493,0.14396547713149913
p,0,0.2401246387654203,0.030311280455754135,0.00582798033686005,0.14286802290293454
p,0,0.24679008282026774,0.030469024531737054,0.00594266461384392,0.1417821282387237
p,0,0.2534555268751152,0.030627563476809606,0.006059359322114427,0.1407078006216244
p,0,0.2601209709299626,0.030786901024622438,0.006178087975427276,0.1396450490169785
p,0,0.26678641498481004,0.0309470409235293,0.006298873720999586,0.13859388395751338
p,0,0.27345185903965746,0.03110798693661454,0.006421739292516391,0.13755431763094056
p,0,0.28011730309450494,0.031269742841720544,0.0065467069604207,0.13652636397047005
p,0,0.28678274714935237,0.03143231243147457,0.006673798479365583,0.1355100387483588
p,0,0.2934481912041998,0.03159569951331548,0.006803035032704041,0.13450535967261537
p,0,0.3001136352590472,0.031759907909520074,0.006934437173888726,0.13351234648698743
p,0,0.30677907931389464,0.03192494145722901,0.007068024764651341,0.13253102107435863
