sample,outcome,controls,term,estimate,low,high,within_r_squared,questions,trajectories,states
all,native_s,committed_r+tau,committed_r,2.5748905192906184,1.8325808241743566,3.316855642171541,0.5878628024771565,100,300,2150
all,native_s,committed_r+tau,tau,7.190721536055292,5.836836422956548,8.635680063626863,0.5878628024771565,100,300,2150
all,native_s,committed_r+tau+tau2,committed_r,2.7383004012820034,1.9779329513969872,3.491399391504151,0.5888879273219157,100,300,2150
all,native_s,committed_r+tau+tau2,tau,9.025034782782745,6.448956459322251,11.818037839695597,0.5888879273219157,100,300,2150
all,native_s,committed_r+tau+tau2,tau2,-1.6890867913220675,-3.6344783628639084,0.0467788270929841,0.5888879273219157,100,300,2150
all,p,committed_r+tau,committed_r,-0.0507846296544907,-0.14790343610788076,0.0444087112346979,0.4519543468635222,100,300,2150
all,p,committed_r+tau,tau,0.9014600350656452,0.7383984142550435,1.0743301673549854,0.4519543468635222,100,300,2150
all,p,committed_r+tau+tau2,committed_r,0.05091687294553102,-0.02589940585919072,0.12884904844603431,0.4918066330985369,100,300,2150
all,p,committed_r+tau+tau2,tau,2.0430826294760798,1.658052348195682,2.4484817364495104,0.4918066330985369,100,300,2150
all,p,committed_r+tau+tau2,tau2,-1.05123792151298,-1.3194422309128515,-0.8033694581263955,0.4918066330985369,100,300,2150
no_gold_conflict,native_s,committed_r+tau,committed_r,1.772947552125983,0.7346970271228723,2.7326390670001595,0.6753561016417913,64,192,1181
no_gold_conflict,native_s,committed_r+tau,tau,9.321483937205485,7.569586125230124,11.150465676564364,0.6753561016417913,64,192,1181
no_gold_conflict,native_s,committed_r+tau+tau2,committed_r,2.1038252961494734,1.0586102290203125,3.069683698233895,0.6775868211993153,64,192,1181
no_gold_conflict,native_s,committed_r+tau+tau2,tau,12.32046242816031,8.920624076720282,15.81957323359239,0.6775868211993153,64,192,1181
no_gold_conflict,native_s,committed_r+tau+tau2,tau2,-2.790119013033588,-5.300734065326313,-0.3711759291355729,0.6775868211993153,64,192,1181
no_gold_conflict,p,committed_r+tau,committed_r,-0.18159584199763829,-0.3185715836142078,-0.057551422582829304,0.5549116571826547,64,192,1181
no_gold_conflict,p,committed_r+tau,tau,1.1602199044175168,0.9527268987272158,1.3825100045317613,0.5549116571826547,64,192,1181
