metric,progress,mean,low,high,questions,trajectories
p,0.0,0.013907572016560081,0.012487149333011132,0.015307530927024672,100,300
p,0.05,0.01833673875968697,0.013524043957370122,0.025492230962642866,100,300
p,0.1,0.09866818332646472,0.06916525388357844,0.1315420860015893,100,300
p,0.15000000000000002,0.17383018299234831,0.1288794330710183,0.2220528981346197,100,300
p,0.2,0.2944998944497689,0.2427317361720756,0.34989649530191513,100,300
p,0.25,0.4810172404402316,0.42912513963638993,0.5313722641099976,100,300
p,0.30000000000000004,0.48123417900232107,0.4306534305925285,0.5320772018660281,100,300
p,0.35000000000000003,0.5930447722140488,0.5381759712743137,0.6482448172577906,100,300
p,0.4,0.6031841739050712,0.5488273909141186,0.6568379742923788,100,300
p,0.45,0.5880857306697181,0.5332926741133169,0.6431609989905596,100,300
p,0.5,0.7060361598305022,0.6568864503938833,0.7541114314267168,100,300
p,0.55,0.6958210389169627,0.6451469028321717,0.7473318275127263,100,300
p,0.6000000000000001,0.7142061145933211,0.6630702121566314,0.7645411760773304,100,300
p,0.65,0.7217149234928613,0.6716519136971654,0.770004704810989,100,300
p,0.7000000000000001,0.7285193412453924,0.6778172044234411,0.7767058849560907,100,300
p,0.75,0.7487682141052274,0.6971796715389973,0.7972836242932901,100,300
p,0.8,0.7688319144396195,0.7166939472050343,0.8178284269128041,100,300
p,0.8500000000000001,0.7796904211211129,0.7286745883709266,0.8266397205405053,100,300
p,0.9,0.7884844664831496,0.7362550597525266,0.8373637890902935,100,300
p,0.9500000000000001,0.7908272385786931,0.738522532761105,0.8398164718011183,100,300
p,1.0,0.8684125720240305,0.8147687561532349,0.9169491202589299,100,300
native_s,0.0,-4.404583336559202,-4.516249998783044,-4.296244799852305,100,300
native_s,0.05,-4.370208337790294,-4.487302093923877,-4.25811978150014,100,300
native_s,0.1,-3.680208338401522,-3.9537500057551522,-3.3966614681008127,100,300
native_s,0.15000000000000002,-2.9993750053654367,-3.3687812613228214,-2.6151979220602857,100,300
native_s,0.2,-2.0545833366448285,-2.502125006233911,-1.5931197923181515,100,300
native_s,0.25,-0.610416670737201,-1.0652291752739174,-0.17165104515395577,100,300
native_s,0.30000000000000004,-0.554166670878452,-0.998171878618395,-0.12436980216046502,100,300
native_s,0.35000000000000003,0.35854166600283255,-0.0821041672236316,0.7823020800347612,100,300
native_s,0.4,0.4606249962667546,0.043541673362031914,0.8773020761988832,100,300
native_s,0.45,0.4133333306701388,0.003286453439737678,0.8133489586434925,100,300
native_s,0.5,1.4141666657968506,1.0189010380126409,1.7956354144368742,100,300
native_s,0.55,1.3441666666528909,0.9362447872931189,1.7423385402915668,100,300
native_s,0.6000000000000001,1.4587499981856673,1.0489479170702982,1.8625052030472335,100,300
native_s,0.65,1.4691666662601834,1.073541671592142,1.8552187489539211,100,300
native_s,0.7000000000000001,1.5345833312108885,1.129156247388255,1.9212552046270517,100,300
native_s,0.75,1.6583333332108061,1.2579010466584561,2.042708330019084,100,300
native_s,0.8,1.8264583326016637,1.4249583286863583,2.2202291670661625,100,300
native_s,0.8500000000000001,1.9412500014690648,1.5322864540449248,2.328979171429695,100,300
native_s,0.9,1.9983333331051991,1.554338544318517,2.400838542145628,100,300
native_s,0.9500000000000001,1.9991666666910566,1.551453131458298,2.4133437478626414,100,300
native_s,1.0,5.065833312052192,4.40644788761208,5.691890593752318,100,300
r,0.0,0.0,0.0,0.0,100,300
r,0.05,0.0,0.0,0.0,100,300
r,0.1,0.0025,0.0,0.006666666666666666,100,300
r,0.15000000000000002,0.010833333333333335,0.003333333333333333,0.021118055555555456,100,300
r,0.2,0.04416666666666667,0.025277777777777777,0.06555555555555555,100,300
r,0.25,0.0725,0.04694444444444445,0.10111805555555546,100,300
r,0.30000000000000004,0.09166666666666666,0.06471527777777776,0.12194444444444442,100,300
r,0.35000000000000003,0.1202777777777778,0.08888888888888888,0.15277777777777776,100,300
r,0.4,0.1522222222222222,0.11527083333333332,0.1908333333333333,100,300
r,0.45,0.16861111111111107,0.12833333333333333,0.20972222222222217,100,300
r,0.5,0.2761111111111111,0.2380486111111111,0.31361111111111106,100,300
r,0.55,0.27944444444444444,0.24111111111111114,0.31750000000000006,100,300
r,0.6000000000000001,0.3213888888888888,0.2811111111111111,0.36194444444444435,100,300
r,0.65,0.32499999999999996,0.28472222222222215,0.3655555555555555,100,300
r,0.7000000000000001,0.3508333333333333,0.30861111111111106,0.3922222222222223,100,300
r,0.75,0.37111111111111117,0.3272222222222222,0.41417361111111106,100,300
r,0.8,0.38222222222222213,0.33611111111111114,0.4275,100,300
r,0.8500000000000001,0.3902777777777777,0.34388888888888886,0.43638888888888894,100,300
r,0.9,0.393611111111111,0.34693749999999984,0.44083333333333335,100,300
r,0.9500000000000001,0.39805555555555544,0.3508263888888888,0.4458333333333333,100,300
r,1.0,0.7624999999999998,0.7133333333333332,0.8116666666666664,100,300
