score,full,x,accuracy,n,correct,x_min,x_max
p,0.0,0.12722465542391495,0.03125,32,1,0.0001686527909128042,0.7981867861408399
p,0.0,0.9656812708682545,0.0625,32,2,0.8080672158638527,0.994445075341325
p,0.0,0.9970004465101991,0.03225806451612903,31,1,0.9947798742254346,0.9988304895646855
p,0.0,0.9994825446650133,0.0625,32,2,0.9988304897067265,0.9999852610180274
p,1.0,0.7679928600997812,0.6136363636363636,44,27,0.02595735684458942,0.9964063980621916
p,1.0,0.9979330598543754,0.6744186046511628,43,29,0.9966233878509673,0.998755156636036
p,1.0,0.9992464494814771,0.7209302325581395,43,31,0.9988304895873956,0.9995121428792187
p,1.0,0.9997656267193283,0.9302325581395349,43,40,0.9995121429383268,0.9999646437492844
native_s,0.0,-3.3046875333163825,0.03125,32,1,-8.687499781030056,1.3750000521540642
native_s,0.0,3.890624993320671,0.0625,32,2,1.4375000149011612,5.1875000081490725
native_s,0.0,5.8951612666771265,0.03225806451612903,31,1,5.249999984400347,6.749999854248017
native_s,0.0,7.878906260576102,0.0625,32,2,6.749999975843821,11.125000000125056
native_s,1.0,2.74573863827126,0.6136363636363636,44,27,-3.6250000139698386,5.625000179745257
native_s,1.0,6.229651144436333,0.6744186046511628,43,29,5.687500069150701,6.68749995023245
native_s,1.0,7.234011582226823,0.7209302325581395,43,31,6.749999873689376,7.62500000410364
native_s,1.0,8.520348789759145,0.9302325581395349,43,40,7.625000125321094,10.25000000073851
