hops,r,metric,mean,low,high,questions
0,0.0,p,0.40020341607680054,0.3716820765455265,0.4275856258694058,100
0,0.0,native_s,-1.2789432871876232,-1.5180125098366084,-1.0544232134750526,100
0,0.25,p,0.6551379767245286,0.5529226072617291,0.746484155652123,21
0,0.25,native_s,1.1377940966310887,0.23121052709708506,2.059611918982634,21
0,0.3333333333333333,p,0.6411443903427534,0.501020442764401,0.7587393498813308,18
0,0.3333333333333333,native_s,0.7338944136273251,-0.62908699145983,1.8378942458038081,18
0,0.5,p,0.8322048267637723,0.778022592374925,0.8802232380699612,64
0,0.5,native_s,3.164446201188224,2.607333990581309,3.704435140878311,64
0,0.6666666666666666,p,0.6922232247368031,0.5185443847555231,0.8409748680660426,15
0,0.6666666666666666,native_s,1.6921919479868879,0.3144444168610546,2.920209102956938,15
0,0.75,p,0.7511722147581917,0.597493483823701,0.8840358543380326,14
0,0.75,native_s,1.9186826761485953,0.765503029131919,2.951370193916666,14
0,1.0,p,0.9363222050301339,0.8883642385371241,0.9747311758945335,76
0,1.0,native_s,6.00259436401061,5.3602055152767445,6.536414190074792,76
2,0.0,p,0.4542081124512289,0.4236079756559798,0.48081862224979893,57
2,0.0,native_s,-0.8014619931709136,-1.027006898022921,-0.5934288285383128,57
2,0.5,p,0.8896551871622179,0.8434185630450324,0.9272211948870744,49
2,0.5,native_s,3.8033012856748694,3.255760480190979,4.313953593025196,49
2,1.0,p,0.9683198317929667,0.9284547661049648,0.9949388879240664,54
2,1.0,native_s,6.5199896046850006,5.929000579264116,7.010112798470734,54
3,0.0,p,0.3874493233703296,0.3155717400862094,0.4514609314553114,19
3,0.0,native_s,-1.654623538547117,-2.3774058867144383,-1.057878745906696,19
3,0.3333333333333333,p,0.6411443903427534,0.501020442764401,0.7587393498813308,18
3,0.3333333333333333,native_s,0.7338944136273251,-0.62908699145983,1.8378942458038081,18
3,0.6666666666666666,p,0.6922232247368031,0.5185443847555231,0.8409748680660426,15
3,0.6666666666666666,native_s,1.6921919479868879,0.3144444168610546,2.920209102956938,15
3,1.0,p,0.7657940318444639,0.5679432524309515,0.937994996168535,13
3,1.0,native_s,3.8252957075596665,1.748237933135058,5.805560892646391,13
4,0.0,p,0.2820392522468226,0.22863015399579695,0.3370714803297368,24
4,0.0,native_s,-2.1155478281510423,-2.564658033397747,-1.6748622916149007,24
4,0.25,p,0.6551379767245286,0.5529226072617291,0.746484155652123,21
4,0.25,native_s,1.1377940966310887,0.23121052709708506,2.059611918982634,21
4,0.5,p,0.6445336494621828,0.5071175208876288,0.7656048692205277,15
4,0.5,native_s,1.0775195918651836,0.09345632970752944,1.9859997264102636,15
4,0.75,p,0.7511722147581917,0.597493483823701,0.8840358543380326,14
4,0.75,native_s,1.9186826761485953,0.765503029131919,2.951370193916666,14
4,1.0,p,0.990654916832438,0.9785232556534226,0.998276197634277,9
4,1.0,native_s,6.043209868171187,5.048977605472448,6.858034307627143,9
