full,positive,n,correct,accuracy,low,high
False,False,29,1,0.034482758620689655,0.0,0.10344827586206896
False,True,98,5,0.05102040816326531,0.010638297872340425,0.10091974793809654
True,False,10,3,0.3,0.0,0.5555555555555556
True,True,163,124,0.7607361963190185,0.6648036757237177,0.8467257892045189
