normalized_progress,r_mean,r_ci_low,r_ci_high,j_mean,j_ci_low,j_ci_high,native_s_mean,native_s_ci_low,native_s_ci_high
0.0,0.0,0.0,0.0,0.8286138613861387,0.8078663366336634,0.8479207920792079,0.013824388014751972,0.012409864827753248,0.015296620008596159
0.02,0.0,0.0,0.0,0.8286138613861387,0.8078663366336634,0.8479207920792079,0.013824388014751972,0.012409864827753248,0.015296620008596159
0.04,0.0,0.0,0.0,0.8286891089108912,0.8078682178217823,0.8479709405940592,0.014162886669924072,0.012654165480763986,0.015800951964283695
0.06,0.0,0.0,0.0,0.8295,0.808888217821782,0.8488643811881187,0.019028519985641725,0.013100296112745087,0.029415535826250897
0.08,0.0,0.0,0.0,0.8294099009900993,0.8080589603960399,0.8497149504950495,0.030033096462388095,0.017830771674591153,0.049297512910629324
0.1,0.0,0.0,0.0,0.8300990099009902,0.8066462871287129,0.8519599009900988,0.050537610800783526,0.031073229248372997,0.07459614453181293
0.12,0.0025,0.0,0.0075,0.8316059405940593,0.8044848019801981,0.8559808415841581,0.0785680096359354,0.05023162991988365,0.11006616346963516
0.14,0.0025,0.0,0.0075,0.8362831683168317,0.8089794801980197,0.8618659405940591,0.10780992018957107,0.07139833110161774,0.14835403462455052
0.16,0.005,0.0,0.0125,0.8418990099009901,0.8149540594059411,0.8672934158415843,0.1400722906553219,0.09732166335354292,0.18622851973347423
0.18,0.005,0.0,0.0125,0.8474128712871292,0.8199881930693071,0.8730167821782174,0.1730609423591704,0.1255242878005214,0.22228926044714237
0.2,0.0075,0.0,0.015062499999999658,0.8529504950495053,0.822566584158416,0.8801346534653469,0.20420519954429842,0.15358019310770415,0.25526836481210374
0.22,0.01583333333333333,0.003333333333333333,0.03083333333333333,0.8635346534653466,0.8335034653465344,0.8902978960396037,0.25284205222324785,0.2005443730455924,0.3055404875618097
0.24,0.03166666666666667,0.010833333333333332,0.05583333333333333,0.8753306930693067,0.8488440099009903,0.8994119306930691,0.29937644372534644,0.2448596593667056,0.351932048864278
0.26,0.03416666666666667,0.0125,0.06083333333333333,0.8892247524752476,0.8643345792079208,0.9117089108910892,0.354247420514034,0.29906890459413144,0.4089129128366395
0.28,0.04416666666666667,0.019166666666666665,0.07166666666666666,0.9036871287128712,0.8778645544554454,0.9267657920792081,0.41401056848017864,0.35641606571329987,0.4692986624527216
0.3,0.06999999999999999,0.0383125,0.10833333333333334,0.9177920792079205,0.8933313118811879,0.9387779702970297,0.463307323084178,0.4050473872201328,0.5186231052346743
0.32,0.07833333333333332,0.045,0.11749999999999998,0.922580198019802,0.9012967821782183,0.9424657425742573,0.49441020840898503,0.4360226177673207,0.5487929519588296
0.34,0.08666666666666666,0.05083333333333334,0.125,0.9223920792079209,0.898071905940594,0.9447984158415843,0.5198865675526217,0.46134903709650643,0.5759599241851471
0.36,0.08666666666666666,0.05083333333333334,0.125,0.9209346534653468,0.8903522277227722,0.946858118811881,0.5441929338344264,0.48786727667133706,0.6014051316415608
0.38,0.09666666666666668,0.06,0.1366666666666667,0.9187326732673268,0.8822760643564354,0.9486858910891091,0.5702553701954421,0.5129736965932562,0.6260041622201085
0.4,0.1075,0.06833333333333333,0.15083333333333335,0.9225643564356437,0.8861356435643567,0.9525371287128717,0.5953793730164694,0.5349418767708943,0.6520815490892258
0.42,0.1075,0.06833333333333333,0.15083333333333335,0.9248950495049502,0.8905358415841583,0.9525543564356431,0.6056641605121235,0.5475077295537739,0.6618133938333002
0.44,0.14,0.09583333333333334,0.18833333333333335,0.9287841584158416,0.8954847524752475,0.9551668316831682,0.6163662500446039,0.5604781784377911,0.6700558518159971
0.46,0.145,0.10000000000000002,0.19333333333333336,0.9330514851485148,0.9018558168316828,0.9584777722772276,0.6291437644238127,0.5737017514517839,0.6817281730445816
0.48,0.1525,0.10583333333333333,0.20333333333333328,0.9350554455445542,0.9034830198019799,0.9610392079207922,0.6423272923493925,0.5871183910157777,0.6946951677862547
0.5,0.19,0.1391666666666667,0.2425,0.9367821782178218,0.902441831683168,0.9643626237623762,0.6554578129826005,0.5995380948205742,0.7084837144404116
0.52,0.19,0.1391666666666667,0.2425,0.9338019801980199,0.902012178217822,0.96010702970297,0.6643221879718502,0.6114045538168704,0.7166033974169124
0.54,0.19,0.1391666666666667,0.2425,0.9306435643564356,0.8996914356435642,0.9565043811881192,0.6734940097096148,0.6216924380779979,0.7253879568850347
0.56,0.19833333333333336,0.14750000000000002,0.2516666666666666,0.9239465346534653,0.8922906435643566,0.9515399504950495,0.6830574930291141,0.6306826693437374,0.7347416411146711
0.58,0.20666666666666667,0.1541666666666667,0.25916666666666666,0.9174247524752475,0.8835737128712873,0.9474394306930687,0.6948141556220748,0.6400620866750297,0.7458619628819914
0.6,0.31,0.25416666666666665,0.36502083333333324,0.9123168316831682,0.8777556930693066,0.9437636138613862,0.7082576388206482,0.6533992258713723,0.7604343074226833
0.62,0.31,0.25416666666666665,0.36502083333333324,0.9107099009900989,0.8750588366336634,0.9433017821782174,0.7207186989626101,0.6662880678744685,0.7723219335601771
0.64,0.315,0.25916666666666666,0.37083333333333335,0.9066633663366336,0.8681558910891093,0.9407104950495045,0.729582359407342,0.6747192105373702,0.7814732985441553
0.66,0.315,0.25916666666666666,0.37083333333333335,0.9032881188118813,0.8637131683168318,0.9380095544554451,0.7383752456217083,0.6845421963758911,0.7901377410623264
0.68,0.3466666666666666,0.29083333333333333,0.3991874999999999,0.8991366336633665,0.8592097029702972,0.9349910396039609,0.7432331998860414,0.6876016969854893,0.7965494607335368
0.7000000000000001,0.3466666666666666,0.29083333333333333,0.3991874999999999,0.8965049504950494,0.8567163366336631,0.9336944306930696,0.7477246732115641,0.6921899321973732,0.802158403348833
0.72,0.37499999999999994,0.31747916666666665,0.4316666666666667,0.9039188118811877,0.8641591584158411,0.9387127722772282,0.7520856006769335,0.6961117559254325,0.8070241630106008
0.74,0.37499999999999994,0.31747916666666665,0.4316666666666667,0.912744554455446,0.8749651732673269,0.9444459405940595,0.7552687848081717,0.6983777236166758,0.8114161695385876
0.76,0.37999999999999995,0.32247916666666665,0.4358333333333333,0.9194396039603957,0.8832758910891085,0.9495366831683164,0.7605611104357792,0.7021702422964886,0.8166965387510683
0.78,0.39166666666666655,0.3350000000000001,0.44502083333333325,0.925773267326733,0.8906663118811883,0.9539369059405939,0.7703285505576987,0.7118719293979742,0.8261118048891943
0.8,0.40666666666666657,0.34833333333333344,0.46333333333333326,0.9312673267326734,0.8965477722772277,0.9584858910891089,0.7831847435091395,0.7246785487854881,0.8385327398634229
0.8200000000000001,0.40916666666666657,0.3508124999999999,0.46583333333333343,0.93390297029703,0.900615643564357,0.9602356930693073,0.7967907486856132,0.7382187713282334,0.8505889756526979
0.84,0.4208333333333332,0.35833333333333334,0.4808333333333333,0.9365861386138618,0.9046446534653464,0.9636189603960398,0.8077627338290208,0.7472076113623926,0.8619425545161061
