subset,questions,trajectories,states,r_coefficient,r_ci_low,r_ci_high,tau_coefficient,tau_ci_low,tau_ci_high,within_r_squared
All questions,100,100,738,2.58852085092024,1.7840201462410161,3.4308537687125242,6.822593444916642,5.342195193927698,8.03708141090283,0.5734451163275659
LWW-clean only,64,64,410,1.883575113871904,0.8272009661615544,3.0866010291679147,8.459710514704181,6.278570108279888,10.719764374941173,0.6301661178141639
