event,questions,delta_margin_mean,delta_margin_ci_low,delta_margin_ci_high,positive_shift_rate,positive_shift_ci_low,positive_shift_ci_high
Gold-evidence gain,97,2.872744843004009,2.5649430891240472,3.23057614163706,0.8651202749140893,0.8015893470790377,0.9089132302405499
No gold-evidence gain,100,2.3291852536093502,1.9881065341467878,2.627144560544435,0.6975250827603768,0.6482590622612681,0.7504393557422969
