subset,questions,trajectories,states,r_coefficient,r_ci_low,r_ci_high,tau_coefficient,tau_ci_low,tau_ci_high,within_r_squared
All questions,100,300,2150,2.5748905192906166,1.8286279387364426,3.305074264591555,7.190721536055292,5.778476900648671,8.587779827670687,0.5878628024771565
LWW-clean only,64,192,1181,1.7729475521259817,0.7471289828592717,2.7352825780110717,9.321483937205489,7.561350235115068,11.115705530817609,0.6753561016417907
