event,questions,delta_margin_mean,delta_margin_ci_low,delta_margin_ci_high,positive_shift_rate,positive_shift_ci_low,positive_shift_ci_high
Gold-evidence gain,100,2.9859722129167316,2.6845516486264827,3.2936371320996782,0.8786111111111111,0.8463819444444444,0.9080555555555554
No gold-evidence gain,100,2.4308010198009704,2.0965463831934015,2.7834829693014442,0.7073399868964885,0.6709144169376949,0.745556338065529
