tau,questions,r_mean,r_ci_low,r_ci_high,margin_mean,margin_ci_low,margin_ci_high
0.0,100,0.0,0.0,0.0,-4.41249999298947,-4.5187812228997934,-4.305593724983105
0.02,100,0.0,0.0,0.0,-4.41249999298947,-4.524374986325157,-4.303734362676332
0.04,100,0.0,0.0,0.0,-4.410049992999527,-4.521314359461551,-4.302500005469949
0.06,100,0.0,0.0,0.0,-4.371224993456621,-4.498763104635209,-4.23397312230519
0.08,100,0.0,0.0,0.0,-4.275774994200143,-4.431881875891773,-4.094570613497556
0.1,100,0.0,0.0,0.0,-4.090187495133374,-4.276512496827147,-3.8836999993340693
0.12,100,0.0025,0.0,0.0075,-3.8584749956509796,-4.1153025007327635,-3.590157505269095
0.14,100,0.0025,0.0,0.0075,-3.6023374966151427,-3.920343135417845,-3.2736687569628122
0.16,100,0.005,0.0,0.0125,-3.3390499967123377,-3.692921239274561,-2.96055374422479
0.18,100,0.005,0.0,0.0125,-3.0808874969896505,-3.4492568773918686,-2.675063743876688
0.2,100,0.0075,0.0,0.0175,-2.822499997543695,-3.238318739334231,-2.403974999335134
0.22,100,0.01583333333333333,0.003333333333333333,0.03166666666666666,-2.4139124988307996,-2.8565953080594735,-1.9888634310958224
0.24,100,0.03166666666666666,0.011666666666666665,0.056666666666666664,-2.0181999995705087,-2.466653134040073,-1.5738437619832553
0.26,100,0.034166666666666665,0.011666666666666665,0.05916666666666666,-1.5616500004961373,-2.0443674999750736,-1.0893090633641527
0.28,100,0.04416666666666666,0.018333333333333333,0.07416666666666666,-1.0794750022044717,-1.5574037506451495,-0.580344995604726
0.3,100,0.07,0.0375,0.10666666666666665,-0.6839375039884547,-1.1775937455108727,-0.18978437583538213
0.32,100,0.07833333333333332,0.04333333333333333,0.11583333333333332,-0.4240250044107961,-0.8907824948873759,0.04040374606719232
0.34,100,0.08666666666666666,0.05166666666666666,0.12583333333333332,-0.21013750457099079,-0.6768834376274031,0.24560436761570795
