event,questions,delta_margin_mean,delta_margin_ci_low,delta_margin_ci_high,positive_shift_rate,positive_shift_ci_low,positive_shift_ci_high
Gold-evidence gain,97,2.872744843004009,2.4697084411869206,3.2703366600328616,0.8651202749140893,0.8066795532646048,0.9175472508591064
No gold-evidence gain,100,2.3291852536093502,1.9441986862257432,2.7313982996243893,0.6975250827603768,0.6487846765979117,0.745621952189967
